"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","FDIFLOW","INWARD","PC_GDP","A","2022",2.3213819126627,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2005",2.3468004045556,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2006",3.5028684051509,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2007",4.3992989690627,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2008",5.1025501065939,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2009",2.8812060671223,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2010",2.1468151122585,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2011",2.9076856790931,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2012",3.0560063923251,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2013",3.106491571102,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2014",3.3378568841019,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2015",4.3345070048274,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2016",4.5496286162686,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2017",4.6189464369506,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2018",3.3638365620245,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2019",4.4433407120967,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.5757162118867,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2021",4.8465595862619,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2022",3.6769552766484,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2005",11654.414527239,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2006",5465.1892849236,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2007",10446.236877126,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2008",6448.6239606511,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2009",2928.813648294,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2010",6146.633821641,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2011",2322.9095275586,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2012",8000.2507933258,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2013",3641.0048822883,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2014",5491.9596489031,
